p1	p2	score	type1	type2
testa dura	testardo	3,642857143	aggettivi	i
testa dura	ostinato	2,928571429	aggettivi	i
testa dura	tenace	2,339285714	aggettivi	i
testa dura	umile	1,089285714	aggettivi	i
testa calda	impulsivo	3,625	aggettivi	i
testa calda	nevrotico	2,767857143	aggettivi	i
testa calda	infuocato	2,410714286	aggettivi	i
testa calda	fiacco	1,196428571	aggettivi	i
straordinariamente bello	magnifico	3,017857143	aggettivi	c
straordinariamente bello	stupendo	2,964285714	aggettivi	c
straordinariamente bello	incantevole	2,857142857	aggettivi	c
straordinariamente bello	onesto	1,160714286	aggettivi	c
palla al piede	impedimento	3,321428571	aggettivi	i
palla al piede	incomodo	2,875	aggettivi	i
palla al piede	noioso	2,571428571	aggettivi	i
palla al piede	morbido	1,232142857	aggettivi	i
molto piccolo	minuscolo	3,446428571	aggettivi	c
molto piccolo	microscopico	3,107142857	aggettivi	c
molto piccolo	minimo	2,142857143	aggettivi	c
molto piccolo	nuovo	1,303571429	aggettivi	c
molto affettuoso	amorevole	3,232142857	aggettivi	c
molto affettuoso	coccoloso	3,035714286	aggettivi	c
molto affettuoso	tenero	2,625	aggettivi	c
molto affettuoso	freddo	1,107142857	aggettivi	c
mani bucate	spendaccione	3,787234043	aggettivi	i
mani bucate	sprecone	2,914893617	aggettivi	i
mani bucate	sottile	1,765957447	aggettivi	i
mani bucate	prodigioso	1,531914894	aggettivi	i
impresa eroica	gesta	3,212765957	aggettivi	c
impresa eroica	prodezza	2,85106383	aggettivi	c
impresa eroica	audace	2,70212766	aggettivi	c
impresa eroica	leggero	1,234042553	aggettivi	c
fuori di testa	pazzo	3,410714286	aggettivi	i
fuori di testa	folle	3,303571429	aggettivi	i
fuori di testa	insensato	2,035714286	aggettivi	i
fuori di testa	simpatico	1,25	aggettivi	i
di vasta portata	ampio	3,425531915	aggettivi	c
di vasta portata	esteso	2,744680851	aggettivi	c
di vasta portata	spazioso	2,680851064	aggettivi	c
di vasta portata	fresco	1,14893617	aggettivi	c
di seconda mano	usato	3,744680851	aggettivi	i
di seconda mano	vecchio	2,553191489	aggettivi	i
di seconda mano	secondario	2,446808511	aggettivi	i
di seconda mano	luminoso	1,255319149	aggettivi	i
di scarsa qualità	scadente	3,659574468	aggettivi	c
di scarsa qualità	mediocre	2,70212766	aggettivi	c
di scarsa qualità	inferiore	2,404255319	aggettivi	c
di scarsa qualità	amaro	1,234042553	aggettivi	c
di lunga vita	longevo	3,553191489	aggettivi	c
di lunga vita	duraturo	3,127659574	aggettivi	c
di lunga vita	prolungato	2,127659574	aggettivi	c
di lunga vita	caldo	1,191489362	aggettivi	c
di facile comprensione	intuitivo	3,517857143	aggettivi	c
di facile comprensione	semplice	2,964285714	aggettivi	c
di facile comprensione	perspicace	2,321428571	aggettivi	c
di facile comprensione	pungente	1,196428571	aggettivi	c
di difficile comprensione	complesso	3,191489362	aggettivi	c
di difficile comprensione	criptico	2,893617021	aggettivi	c
di difficile comprensione	enigmatico	2,744680851	aggettivi	c
di difficile comprensione	colorato	1,170212766	aggettivi	c
di buon cuore	altruista	3,142857143	aggettivi	i
di buon cuore	generoso	3,035714286	aggettivi	i
di buon cuore	gentile	2,714285714	aggettivi	i
di buon cuore	veloce	1,107142857	aggettivi	i
di alto livello	prestigioso	3,425531915	aggettivi	c
di alto livello	elevato	2,723404255	aggettivi	c
di alto livello	raffinato	2,659574468	aggettivi	c
di alto livello	ruvido	1,191489362	aggettivi	c
di alta qualità	eccellente	3,127659574	aggettivi	c
di alta qualità	premium	2,872340426	aggettivi	c
di alta qualità	superiore	2,829787234	aggettivi	c
di alta qualità	bagnato	1,170212766	aggettivi	c
cuor di leone	coraggioso	3,5	aggettivi	i
cuor di leone	impavido	2,714285714	aggettivi	i
cuor di leone	audace	2,535714286	aggettivi	i
cuor di leone	testardo	1,25	aggettivi	i
chiaramente visibile	evidente	3,571428571	aggettivi	c
chiaramente visibile	palese	3,214285714	aggettivi	c
chiaramente visibile	docile	1,678571429	aggettivi	c
chiaramente visibile	sbagliato	1,535714286	aggettivi	c
ben educato	educato	3,361702128	aggettivi	c
ben educato	gentile	2,829787234	aggettivi	c
ben educato	cortese	2,744680851	aggettivi	c
ben educato	gelido	1,063829787	aggettivi	c
basso profilo	discreto	3,29787234	aggettivi	c
basso profilo	riservato	3,191489362	aggettivi	c
basso profilo	moderato	2,29787234	aggettivi	c
basso profilo	fragile	1,212765957	aggettivi	c
a portata di mano	accessibile	3,29787234	aggettivi	c
a portata di mano	vicino	2,744680851	aggettivi	c
a portata di mano	pratico	2,680851064	aggettivi	c
a portata di mano	acido	1,276595745	aggettivi	c
a bruciapelo	vicinissimo	3,428571429	aggettivi	c
a bruciapelo	prossimo	2,821428571	aggettivi	c
a bruciapelo	adiacente	2,464285714	aggettivi	c
a bruciapelo	dolce	1,285714286	aggettivi	c
a basso costo	economico	3,787234043	aggettivi	c
a basso costo	conveniente	2,787234043	aggettivi	c
a basso costo	accessibile	2,340425532	aggettivi	c
a basso costo	soffice	1,085106383	aggettivi	c
senza dubbio	indubbiamente	3,446428571	avverbi	c
senza dubbio	sicuramente	2,678571429	avverbi	c
senza dubbio	certamente	2,428571429	avverbi	c
senza dubbio	apparentemente	1,446428571	avverbi	c
per lo più	principalmente	3,042553191	avverbi	c
per lo più	soprattutto	2,978723404	avverbi	c
per lo più	specialmente	2,553191489	avverbi	c
per lo più	pazientemente	1,425531915	avverbi	c
ogni tanto	occasionalmente	3,425531915	avverbi	c
ogni tanto	talvolta	2,744680851	avverbi	c
ogni tanto	saltuariamente	2,553191489	avverbi	c
ogni tanto	costantemente	1,276595745	avverbi	c
in un attimo	immediatamente	3,212765957	avverbi	c
in un attimo	rapidamente	2,723404255	avverbi	c
in un attimo	velocemente	2,531914894	avverbi	c
in un attimo	provvisoriamente	1,531914894	avverbi	c
in primo luogo	innanzitutto	3,617021277	avverbi	c
in primo luogo	primariamente	2,872340426	avverbi	c
in primo luogo	preliminarmente	2,276595745	avverbi	c
in primo luogo	energeticamente	1,234042553	avverbi	c
